,title,label,label_score,len_title
7104,"ZODIAK KESEHATAN BESOK Ramalan Zodiak Kesehatan Rabu 11 September 2019 Taurus Lelah, Scorpio Stres",clickbait,1,14
3940,Intip Keseruan Acara Bukber Perusahaan IT Terbaik di Indonesia,clickbait,1,9
8375,"Patah Tulang Hingga Tengkorak Retak, Begini Kondisi Terkini Mahasiswa Korban Demo",clickbait,1,11
3950,"Lebaran ke-2, Langkat Macet Parah! Hingga 21Km",clickbait,1,7
8449,"Akdong Musician Ditanya Soal Reputasi YG, Isyaratkan Tak Bakal Keluar?",clickbait,1,10
2192,"Kecelakaan di Tol Jagorawi, 3 Orang Tewas ",non-clickbait,0,7
6880,Prediksi Timnas U-16 Vs Filipina di Kualifikasi Piala AFC U-16,non-clickbait,0,10
5141,"Perkenalkan Mobil Kancil, Ridwan Kamil Sebut Sesuai Kebutuhan Warga",non-clickbait,0,9
2028,Trotoar Kalimalang yang Berada di Tengah Jalan Disebut Akan Dibongkar,non-clickbait,0,10
6725,"Dibuka Melemah, IHSG Diperkirakan Menguat Pekan Ini",non-clickbait,0,7
7642,Kecantikan Tzuyu Twice dengan Warna Rambut Baru Kejutkan Fans,clickbait,1,9
1876,"Desak Jokowi, Sivitas LIPI Tolak Revisi UU KPK",non-clickbait,0,8
5107,DPR dan Pemerintah Kebut Pengesahan Revisi UU Pemasyarakatan,non-clickbait,0,8
5195,Cukai Rokok Kretek Mesin Perlu Dinaikkan Dua Kali Lipat,non-clickbait,0,9
2258,"Kisah Bayi ""Spesial"" yang Lahir ""Serba"" 9/11",clickbait,1,7
6709,Puan Maharani Bicara Soal Industri Spa RI yang Masuk Top 10 Dunia,non-clickbait,0,12
4499,Pakar: Pembentukan Dewan Pengawas KPK Diperlukan,non-clickbait,0,6
4019,Kadishub: Perluasan Ganjil-Genap Turunkan Polusi,non-clickbait,0,5
2749,"Romansa Sebelum Ajal Menjemput di Tragedi 9/11: Aku Cinta Padamu, Sayang...",clickbait,1,11
5992,PT Aneka Tambang Dapat Suntikan US$ 129 Juta dari Bank Mandiri,non-clickbait,0,11
8132,Gaya Tzuyu Twice yang Bak Cewek Bangsawan di Album 'Feel Special' Tuai Decak Kagum,clickbait,1,14
8042,Tiga Agensi Member X1 Diselidiki Gara-Gara Dicurigai Terlibat Manipulasi Voting 'Produce X 101',clickbait,1,13
3531,Ini Prediksi Sri Mulyani soal RDG BI dan Ekonomi RI Kuartal III-2019,clickbait,1,12
580,"Agar Siswa Tak Demo Turun ke Jalan, Ini yang Dilakukan Disdik Jateng",clickbait,1,12
5513,Panglima TNI Raih Gelar Doktor Kehormatan dari UNS,non-clickbait,0,8
5548,Klasemen Lengkap Liga Europa 2019/2020 Matchday Pembuka,non-clickbait,0,7
4577,"Kasus Korupsi di DPRD Garut, Politisi PKS Diperiksa",non-clickbait,0,8
3314,Perusahaan Sawit Malaysia Disegel Terkait Karhutla Riau,non-clickbait,0,7
5874,Cara Kerja Hacker Curi Data Lewat Sim Card,clickbait,1,8
2388,Rini Minta Pengembangan Pelabuhan Harus Beri Dampak ke Perekonomian Bali,non-clickbait,0,10
7985,"Film 'Love For Sale 2' Luncurkan Trailer Perdana dengan Cara Unik, Seperti Apa?",clickbait,1,13
8601,"Cantik Banget, Dandanan Modis Rose BLACKPINK Menuju Paris Dipuji Habis-Habisan",clickbait,1,10
157,"Anggota DPRD Banten Ramai-ramai Gadai SK, Ini Kata Kemendagri",clickbait,1,9
3985,Anggaran Buat DPR Bertambah Rp 833 Miliar,non-clickbait,0,7
1158,Resepsi Tania Nadira Didominasi Royal Blue - Sebar 2000 Undangan Termasuk Jokowi,non-clickbait,0,12
2304,"Menurut Google, Ini Tantangan Pertumbuhan Startup di Indonesia",clickbait,1,8
5400,Ridwan Kamil Sebut Dia dan Uu Ruzhanul Ulum Dwitunggal,non-clickbait,0,9
721,"Soal RUU KUHP, Yuk Baca Lagi Putusan MK Soal Zina dan LGBT",clickbait,1,12
2057,Kivlan Zen Beri Rp 25 Juta kepada Seseorang untuk Mata-matai Wiranto dan Luhut,non-clickbait,0,13
5656,Teknologi Unsur Penting Dukung SDM Unggul Indonesia,non-clickbait,0,7
1540,"Barbie Kumalasari Bakal ke Amerika Bareng Boy William, Begini Ceritanya",clickbait,1,10
7327,"SBY Sebut Keadaan Indonesia Mengundang Bahaya di Masa Depan: Kebencian Menguat, Ini Lampu Kuning!",clickbait,1,14
3380,"7 Tempat Kuliner Halal di Sydney, dari Menu Portugal hingga Masakan India",clickbait,1,12
7726,INFOGRAFIS: Mengenal Sejarah Batik Di Indonesia Yang Eksis Sejak Masa Kerajaan,non-clickbait,0,11
2795,Melihat Lebih Dekat Liang Lahat untuk BJ Habibie,clickbait,1,7
7756,"Jerinx SID Digoda Orang Ketiga, Nora Alexandra Marah Besar",clickbait,1,9
1700,"Terkait DAU, Emil Usul Disesuaikan dengan Jumlah Penduduk ",non-clickbait,0,8
4416,KPK: Biarkan DPR Periode Mendatang Bahas UU KPK,non-clickbait,0,8
6015,Jokowi Didesak Tak Setujui Pengesahan RKUHP di Paripurna,non-clickbait,0,8
1205,"Uang Bukan Alasan, Pemain 'AVE MARYAM' Tidak Dibayar?",clickbait,1,8
875,Kim Kardashian dan Kanye West Kencan di Malibu,non-clickbait,0,8
8363,Salah Satu Adegan Di MV Twice 'Feel Special' Ini Sukses Bikin Fans Nangis Berjamaah,clickbait,1,14
5547,Anggota DPD Papua Barat Digugat 6 Anggota MRPB di PN Jakpus,non-clickbait,0,11
5037,Waspadai Gerakan yang Berpotensi Ganggu Ideologi Negara,clickbait,1,7
4737,Ketua KPU Kenang Jasa Habibie dalam Pemilu Indonesia,non-clickbait,0,8
3312,"Beredar Undangan Pesta , di Serpong Tangsel, Polisi : Hoax!",clickbait,1,10
6909,"Wahana Ozon di TMII, Ajak Anak Lebih Sayang Bumi",non-clickbait,0,9
452,Ribuan Mahasiswa Kepung Kantor Dewan Surabaya Sebelum ke DPRD Jatim,non-clickbait,0,10
5846,"Kabut Asap Kian Pekat, Dinkes Kobar Dirikan Rumah Singgah Oksigen",non-clickbait,0,10
893,"Tidak Suka Berbohong, 5 Zodiak Ini Dikenal Paling Jujur",clickbait,1,9
6825,Bank Mandiri Salurkan KUR Rp 15 T hingga Agustus,non-clickbait,0,9
8157,"Bantah Janjikan Kolaborasi, Atta Halilintar Kasihani Kondisi Ibu Bebby Fey dan Ngaku Siap Bantu",clickbait,1,14
450,Menristek Sebut Sebagian Aksi Mahasiswa Ditunggangi Kepentingan Lain,non-clickbait,0,8
3656,Lorenzo Harap Bisa Lebih Kuat di MotoGP Aragon dan Thailand 2019,non-clickbait,0,11
5589,Kisah Si Mungil Pengawal Laut Nusantara,clickbait,1,6
840,"Sweeping Pelajar SMK yang Ikut Demo, Polisi Temukan Celurit dan Pisau",non-clickbait,0,11
4599,"Cerita Himpuh Protes Biaya Visa, Apa Respons Utusan Saudi?  ",clickbait,1,9
6737,Bidding Tuan Rumah Piala Dunia U-20: FIFA Mulai Inspeksi Stadion,non-clickbait,0,10
5772,The Ultimate Queen Celebration Siap Gaungkan Lagu Hit Band Queen,non-clickbait,0,10
4366,Menkes Tegaskan Anak Harus Bebas dari Paparan Promosi Rokok,non-clickbait,0,9
2877,"Urusan Transfer, MU Siap Menggila di Bursa Musim Dingin",clickbait,1,9
954,Tips Ampuh Hilangkan Noda Hitam pada Kulit Wajah,clickbait,1,8
6127,"Dipermalukan PSG 3-0, Ini Rangkaian Catatan Buruk Real Madrid",clickbait,1,9
6482,Liga 1 Rabu Hari Ini: Jadwal Siaran Langsung dan Klasemen,non-clickbait,0,10
6534,"Ilmuwan Mendeteksi 100 Sinyal dari Luar Angkasa, Tanda Alien?",clickbait,1,9
623,Berkas Kasus 'Kadis Cium Pipi Staf saat Selfie' Dilimpahkan ke Jaksa,non-clickbait,0,11
7627,Jackson GOT7 Buka-Bukaan Soal Hubungan Dekatnya dengan RM BTS,clickbait,1,9
5963,Trase LRT Jabodebek Diusulkan Diperpanjang hingga ke Puncak,non-clickbait,0,8
8182,"Demo Mahasiswa Rusuh Di Indonesia, AS Dan Australia Minta Warga Negaranya Waspada ",non-clickbait,0,12
8035,"Unggah Foto Ini, Reino Barack Teringat Kenangan Masa Lalu Bareng Luna Maya?",clickbait,1,12
5213,UU PAS Juga Mengatur DPR Jadi Pengawas Eksternal Lapas,non-clickbait,0,9
72,Siswi SMK Bandung Ditikam Dekat Sekolah karena Tolak Cinta Pelaku,non-clickbait,0,10
5185,"Kesepakatan Bersama, Ruang Kosong di Median Jalan Kalimalang Dibuat Taman",non-clickbait,0,10
6992,Penasihat KPK Tsani Annafari Ikut Mundur,non-clickbait,0,6
424,"Singgung RUU KPK di Simposium, Prabowo: Mungkin Korupsi di RI Menurun",non-clickbait,0,11
7111,"Viral Sepeda Motor Ditemukan di Rumpun Pohon Bambu Sekitar Maguwoharjo Sleman, Ini Kata Polisi",clickbait,1,14
3290,"Lepas Rindu Penggemar, Motif Pamela Safitri Jadi Youtuber",clickbait,1,8
1985,Harga Emas Antam Hari Ini Naik Rp 8.000,non-clickbait,0,8
3994,"Kuliah tak Diliburkan, Mahasiswa Riau Jadi Korban Kabut Asap",non-clickbait,0,9
719,Pagi Ini Tim SAR Gabungan Evakuasi Korban Pesawat Twin Otter Jatuh di Papua,non-clickbait,0,13
8268,Gubernur Khofifah Kirim Satu Juta Masker Bantu Korban Karhutla di Jambi,non-clickbait,0,11
5154,Liverpool Tersungkur di Markas Napoli,non-clickbait,0,5
3967,"PKB Minta 10, Nasdem 11, Belum Lagi Golkar, PPP dan PDIP... Pusing Lah!!! !",clickbait,1,14
7068,"Menpora Imam Nahrawi Tersangka, Ini yang Disampaikan Sesmenpora",clickbait,1,8
6025,"Korban Kekerasan Seksual Kakek Alfa Romeo Trauma, Ini Sebabnya",clickbait,1,9
1991,"Kembali Naik, Utang Luar Negeri Indonesia Tembus Rp 5.534 Triliun",non-clickbait,0,10
8232,Cha Eunwoo Akui Punya Penyelasan Saat Bintangi 'Rookie Historian Goo Hae Ryung',clickbait,1,12
1509,"Produseri Drama Musikal, Anak Iis Sugianto Angkat Tema Soal Kesehatan Mental",non-clickbait,0,11
925,"Menurut Studi, Ini Waktu Paling Tapat untuk Berhubungan Intim",clickbait,1,9
